"Day","Cash On Hand"
0,3500000
1,3487400
2,3279480
3,2920860
4,2537126
5,974497
6,560115
7,197396
8,255080
9,343749
10,359632
11,174460
12,2480029
13,2189719
14,2361244
15,1857661
16,499686
17,616396
18,1784222
19,1885719
20,2084107
21,2158831
22,2205837
23,2327424
24,1867248
25,1928748
26,954232
27,2511247
28,2602811
29,2292426
30,2334487
31,2622569
32,3031344
33,3114861
34,4348762
35,5190090
36,6235382
37,6452296
38,5514662
39,3976078
40,4855675
41,5651863
42,5743324
43,7794732
44,7000349
45,7181460
46,7231610
47,6242579
48,6251872
49,6753597
50,7399656
51,6270899
52,6044997
53,7277620
54,7366529
55,7692698
56,9590487
57,9822382
58,9993077
59,9833580
60,9768867
61,9733141
62,9600973
63,9781916
64,9924624
65,10298826
66,10543351
67,10536084
68,10592741
69,10649206
70,10711000
71,11339888
72,11387221
73,11929263
74,11171439
75,11927820
76,12078953
77,12198842
78,13182510
79,14035433
80,14736917
81,15191352
82,14287737
83,14071074
84,11611798
85,12101736
86,11942102
87,12025521
88,11780982
89,12173434
90,13347623
